U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
50,0.240975363451446,0.00109280096901986,0.000896022072705458,-0.101325588326398,0.0274357553033638,0.00218334973195028,2.29772748663593,2.6551844923629,-0.0224985213254212,0.654871947301206,1,0,0,0,0,3.57738867528984,2.9659448490183,0.0178257057474532,0.0328190838731779,-0.039600617119404,0.0207080889280357,0.030730405284355,-0.0385112376496314,253617.455345122,282672.265281646,11903.364577162,555098.700064388,-7.16343177575309
55,0.248627263169336,0.000840482407469931,0.000675514620824766,-0.115783517022965,0.0214725317804572,0.00198744577745502,2.14587957956039,2.41852497151583,-0.0574509939971937,0.683207230864074,1,0,0,0,0,3.1412673694633,2.60687648703144,0.0183772557304034,0.0385192753244825,-0.0417916225253355,0.020792827445595,0.0367236770944626,-0.0406490498986111,255665.954252464,278123.052721065,11903.0059455297,552749.348732104,-20.1097397889882
60,0.258468523436089,0.000563257200158488,0.000418837703178638,-0.132940770112978,0.0159407554374181,0.00170751782552477,2.02333466929559,2.22274690909195,-0.0874319447854,0.710997684260572,1,0,0,0,0,2.77135424819699,2.31270507823409,0.0189951807160165,0.0451089626397395,-0.0447699139976799,0.020918294436336,0.0437523575620968,-0.043563513312427,259299.480777144,275961.960081002,11902.668572702,553674.240768338,-33.3729575024859
65,0.270504004386335,0.000300040959091899,0.00018974715797522,-0.151041112402433,0.009423070834758,0.00134496669794658,1.91889477370761,2.05752444172834,-0.105822383670786,0.738210061558578,1,0,0,0,0,2.4852081432377,2.10077551514883,0.0196317176498033,0.051205271133901,-0.0477449916055705,0.0210751251354003,0.0503317085267628,-0.0465388975455909,263937.291986573,275684.384689617,11902.3034455354,558587.001210562,-43.7518029958743
70,0.284710428389589,0.000107925853205518,1.88334727823093e-05,-0.171147797852444,0.00298716858459393,0.00100568448509375,1.82761964422753,1.92184522416401,-0.0614049902311573,0.76487225992712,1,0,0,0,0,2.26034236034072,1.94274350576442,0.0202676772787303,0.0575762652790713,-0.0510436567564238,0.021319822603271,0.0571060458147869,-0.0498911051881503,269377.276567377,277481.325665151,11902.0969822297,569155.018870856,-27.3613323606705
75,0.301288693037929,-2.20311198325256e-05,-0.000148617305289481,-0.193029860992425,-0.00423564289499348,0.000647801380647066,1.74706818309672,1.80999806005339,-0.0209879437642259,0.790932968817445,1,0,0,0,0,2.080578319038,1.8201454618581,0.0209059601993785,0.063907448106844,-0.0544661053681055,0.0216550135886384,0.0637961142692046,-0.0533254280198813,275572.370540325,281070.576800769,11902.1894880826,578605.652260858,-10.0260190788772
80,0.320783327775401,-9.59252986635369e-05,-0.000223942839159095,-0.217941312847433,-0.0119068339653556,0.000397365468900357,1.67755582500209,1.7194471995842,-0.0161022137888422,0.816590668739583,1,0,0,0,0,1.93694052759249,1.72440360888089,0.0215793494583063,0.0708812799190619,-0.0582805719106148,0.0221081335997077,0.0709858954930052,-0.0572371898741259,282677.073663007,286402.803904041,11902.8614933609,596095.343618807,-8.20555474469435
85,0.342689270828516,-0.000132929280297897,-0.000292867218056617,-0.24378843274726,-0.0211947403446672,0.000153514699086671,1.61538346749681,1.64316091629319,0.0514489997546522,0.841779538590586,1,0,0,0,0,1.81847986748862,1.64559517488073,0.0222572626597198,0.077048399251896,-0.0616942935729719,0.0226273493600515,0.0773180557704932,-0.060714993298404,290474.029999161,292989.571143298,11904.7319798186,611026.940987815,27.8790374626403
90,0.369321502081155,-0.000139847389034002,-0.000382341709291572,-0.27842948715432,-0.0282831773521952,-7.99771464770888e-05,1.56838288100825,1.58725833628722,0.029997546216344,0.865356297327313,1,0,0,0,0,1.72911381849821,1.58846342617652,0.0230842646469648,0.0870800282961834,-0.0674132970529689,0.0233490305134648,0.0874869886415221,-0.0664262530485074,299765.65205673,301516.814448845,11907.2670234084,629705.454552404,17.2063854640932
95,0.399254961058591,-0.000136940900774689,-0.000356951655789867,-0.311956733496142,-0.040390181364865,-0.000171402847098693,1.52615559717437,1.53895612507518,0.0454527176766645,0.888860160992399,1,0,0,0,0,1.65410856510573,1.53955844507283,0.0239368157419829,0.0943677831929329,-0.0714911408103073,0.0241249601999963,0.0947841848953375,-0.0706407399011153,309704.454771083,310920.336737967,11913.8276352338,651730.329142327,27.523635039997
100,0.435664408855063,-0.000122484264154975,-0.000363081657047721,-0.357594468659801,-0.049548545345231,-0.000270968975667426,1.49895183829545,1.50801775286584,0.0616740880095994,0.911802851773235,1,0,0,0,0,1.6018736551188,1.50832139001602,0.0249987875428228,0.10695372446534,-0.0786215392020747,0.0251383941771077,0.107382736588315,-0.0778349748352921,321340.627570976,322228.832520329,11921.6144840576,678531.594014755,39.3171603494265
