U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop,T_rotor
16,0.256182678858821,-0.00371127870854314,0.00124717507726799,-0.0257247077474605,0.0534691808118144,0.00092499557370645,5.05814141357096,7.05427685918637,-0.0453755147433597,0.438309148127436,1,0,0,0,0,12.4551979209267,9.73219263860711,0.0163520691037176,-0.00655659392666582,-0.0273536307519961,0.020952997026356,-0.00672497263576397,-0.02709623550199,312646.476893976,448245.923070765,11902.6499482235,788006.150770398,-4.6121749612319,53912.6621089914
17,0.25360361759048,-0.00328556232738478,0.00134429601466079,-0.0268635022384617,0.0523883688311385,0.00100233416394969,4.94544076343446,6.79040695323668,-0.0211847563331958,0.445390297380194,1,0,0,0,0,11.9364914992541,9.36726884533179,0.0163330605876636,-0.00646393654364626,-0.0279577269959855,0.0208741240618308,-0.00668034527537771,-0.0276219914618568,309569.262934664,436620.748828813,11902.6952706594,770000.267236094,-2.29153062870272,53907.9959915121
18,0.251093012922742,-0.00288307951632433,0.0014627813783532,-0.0278828314536958,0.051145580579287,0.00109360522947216,4.82500666588893,6.53431300423919,-0.0100340207103394,0.452276875800984,1,0,0,0,0,11.4271615342574,9.00303209335223,0.0163129756559719,-0.00634073050355292,-0.0283553846867113,0.0207986131428169,-0.00664113743885735,-0.0279938924770017,306210.473930429,425431.348060895,11902.7343657571,754999.414565452,-1.14999822561575,53903.5528921173
19,0.248675611624977,-0.00250404283508503,0.00156791335727589,-0.028791347780936,0.0497219371624733,0.00117084740912013,4.69935274580087,6.28682050660532,-0.0286914959165213,0.458999796091889,1,0,0,0,0,10.930465427837,8.64334358263948,0.0162932976672486,-0.00620516918187644,-0.0285837081392792,0.020725958134349,-0.00659598292610296,-0.0282012219183838,302665.93774839,414695.352360337,11902.7659823082,740216.999949717,-3.4677141627598,53899.5457264268
20,0.246362621773241,-0.00214804431898134,0.00165465347254232,-0.0296012692766079,0.0482137135861633,0.00123086883333906,4.57085040744719,6.04876232872157,-0.0402257954687528,0.465938796491561,1,0,0,0,0,10.4494153988401,8.29180609664144,0.016274799775528,-0.00606174066854548,-0.028664750815173,0.0206555578604872,-0.006545246761382,-0.0282608672439309,299021.868202831,404434.25957314,11902.7917594413,725465.445340843,-5.1150877761702,53895.6972524334
21,0.24416707444601,-0.00181500118706046,0.0017260031160253,-0.0303252382692415,0.0466570565996479,0.00127668404885344,4.4415752036768,5.82055055926236,-0.0380689524343252,0.47294358035752,1,0,0,0,0,9.98621797031559,7.95124282973912,0.0162585624070798,-0.00591182800124489,-0.0286149040516476,0.0205867315574585,-0.00649236311432564,-0.0281949034791555,295356.892146311,394651.724668187,11902.8120913876,711191.497108772,-5.08387442616042,53891.9712807625
22,0.242113234184101,-0.00150525812752368,0.00187494771128548,-0.030975953787951,0.045040360977883,0.00138131591958482,4.31322692210601,5.60217986605843,-0.0325153523790086,0.479807735800611,1,0,0,0,0,9.54225056093143,7.62366950530835,0.0162462092877302,-0.0057175313811205,-0.0283810767073969,0.0205188709452305,-0.00647997030375768,-0.0280886841837795,291739.323536271,385334.135836701,11902.8236894459,705817.759409835,-4.55050926341893,53888.6786115388
23,0.240210856387388,-0.00121931762937378,0.0020369321698913,-0.0315660166194172,0.043327380826344,0.0014934229733953,4.1873297378202,5.39361423090594,-0.0442035237588226,0.48667433605372,1,0,0,0,0,9.11863606656881,7.31077980907326,0.0162390649965068,-0.00551092195728267,-0.0280301353541174,0.0204511134809081,-0.0064813736806682,-0.0279130326509946,288230.545357948,376467.680400806,11902.8263281114,703607.54728432,-6.4645713724707,53886.0336305746
24,0.238441056391845,-0.000956294562470467,0.00210516671725641,-0.0321089719895846,0.0416208070256769,0.00153112632613747,4.06508832170813,5.19494332516931,-0.0402348570738378,0.493603019320021,1,0,0,0,0,8.71625634513926,7.01405296496489,0.0162370836579311,-0.00534080438352208,-0.027666045694449,0.0203824463209896,-0.00644930403902318,-0.027612236118996,284873.124440238,368048.687031342,11902.8263199067,695019.167014046,-6.14151857698411,53883.4483860366
25,0.236804019896859,-0.000718115494803248,0.00198199310228571,-0.0326150900519068,0.039854553049701,0.00142109187944529,3.9473192439554,5.00582241934429,-0.0494068687844825,0.500104038763111,1,0,0,0,0,8.33546163806325,6.7338232976453,0.0162412195091558,-0.00525400587178665,-0.0273783937427835,0.020312022877489,-0.00634068824333146,-0.0271289260136918,281701.525545171,360054.730248523,11902.8243215618,671275.265823976,-7.85347966885638,53881.0804807253
