U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
25,0.254841626575338,-0.000504231881257317,0.00222218680125864,-0.0413422068519088,0.0519737947230376,0.00152031320399591,4.68858736351062,6.02845557827283,2.32765618227108,0.522825588880147,1,0,0,0,0,9.97297407648883,8.08087759501155,0.0166157030261277,-0.00596536914500966,-0.030181506365302,0.0208741022156668,-0.00741171701819306,-0.0298578786381837,282626.772130138,381543.171273932,11903.3611312978,677645.232414658,405.195887907802
26,0.252911698868213,-0.00021563101865426,0.00229349290194486,-0.0419599604153814,0.0515175015256879,0.0015571176010786,4.56419475596919,5.83016909527296,2.61983948117579,0.532626462203419,1,0,0,0,0,9.56820402714627,7.78641705708202,0.0166159910635723,-0.00580280537502631,-0.0298725287664847,0.0208285781111877,-0.00742103742477929,-0.0295946001108885,279138.85354132,373225.409462709,11903.4386490704,666353.185785968,477.621041314351
27,0.251108789454681,5.24631738607343e-05,0.00235636083296779,-0.0425346963377327,0.0510549623422876,0.00158543959093511,4.44269666456481,5.64126698344975,2.89615738261561,0.54233458873197,1,0,0,0,0,9.18519389627232,7.50721481901933,0.0166181655707016,-0.00564147502023725,-0.0295085039906114,0.0207853431557915,-0.00743523574977262,-0.0292827913237098,275750.090577836,365355.287690816,11903.5164578739,655671.142768422,551.540745307346
28,0.249435212697639,0.000300868295059518,0.00241460764233466,-0.0430772866573229,0.0505870918599013,0.00160826035691908,4.32423705750007,5.46192240237329,3.15750923049017,0.551843278991921,1,0,0,0,0,8.82453567580657,7.24299682270307,0.0166208910197525,-0.00548180868142356,-0.0291019239868915,0.0207458057972138,-0.00745602978801791,-0.0289355230337304,272454.16349339,357953.56048094,11903.5942807727,645609.236447272,626.680950512523
29,0.247891636540252,0.000531081534426754,0.00246981546871388,-0.0435976844056625,0.0501143712309348,0.00162686609471817,4.20885415018907,5.29218133207391,3.40485471500147,0.561226946666989,1,0,0,0,0,8.48649241753245,6.99334916061654,0.0166227726425177,-0.00532489343649372,-0.0286655952863643,0.0207113829599624,-0.00748403221136637,-0.028563019861217,269242.17224644,351033.916092787,11903.6718976014,636168.122949697,702.82516946156
30,0.246478035760413,0.000745432576243619,0.00252737461005018,-0.0441047647651585,0.0496369441170141,0.0016452146369809,4.09648248363236,5.13200474144423,3.63929241788616,0.570489756929535,1,0,0,0,0,8.17102588915865,6.75775309996382,0.0166223220039534,-0.00516953709070627,-0.0282082682154476,0.0206835712421371,-0.00752186116390883,-0.0281764892754803,266102.224346572,344605.650934176,11903.7488711999,627341.698594256,779.834181267271
31,0.245187434919239,0.000946832127356799,0.00258801510447479,-0.0446040729728753,0.0491544558322944,0.00166381236004883,3.9872187189457,4.98109958542264,3.86218353246353,0.579323236712438,1,0,0,0,0,7.87675364544179,6.53518918134686,0.0166187550058717,-0.00501588934082958,-0.0277375929333891,0.0206629605658783,-0.00756983359537635,-0.0277814102982748,263035.859731287,338657.370909584,11903.8249256296,619117.927623888,857.681453309774
32,0.244006080817147,0.00113836291743625,0.00265129987021445,-0.0450971883779628,0.0486660551944043,0.00168228699474771,3.88132383545069,4.83892688837587,4.07513422040008,0.588249200478942,1,0,0,0,0,7.60094033615755,6.32412128050488,0.0166121481493832,-0.00486385247570456,-0.0272569833418438,0.0206490896050512,-0.00762762601701306,-0.0273795278755521,260058.360174376,333157.397448608,11903.8998041809,611479.982927959,936.458785702501
33,0.242920051558878,0.00132259863485253,0.00271446764292673,-0.0455844496701032,0.0481708009497896,0.00169859767298197,3.7789722765123,4.70492174697295,4.27954239808118,0.597054512663719,1,0,0,0,0,7.34093809478076,6.12303034636339,0.0166026829455637,-0.00471427106548661,-0.0267698105498581,0.0206413839088706,-0.00769376938049676,-0.0269699511773918,257182.343664037,328072.875551152,11903.9733743854,604407.777988583,1016.26547187575
34,0.241917727112463,0.00150232657380349,0.00278518295832703,-0.0460652441950129,0.047667638373418,0.00171800560707192,3.68021342095486,4.57856461581468,4.47676245347592,0.605857527072162,1,0,0,0,0,7.09426102498227,5.93049138575058,0.0165904122001212,-0.00456288165088141,-0.0262710975189302,0.0206394854189435,-0.00777220749052051,-0.0265575392928142,254414.347986348,323375.576035132,11904.0448911539,597880.788147307,1097.24192843743
