U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
45,0.233257703139422,0.000521379873420819,0.00140025335621972,-0.0414720098587112,-0.0102722741225722,0.000617643082616571,2.48113203350234,2.85415932025179,1,0,0,0,0,0,0,4.11158259081333,3.37802945398619,0.0173530608457951,-0.00667818119874049,-0.0170972504148171,0.020033001366451,-0.00847717853198201,-0.0167159455215338,253293.412798821,282696.700536184,11902.2748185872,547892.388153592
46,0.234101699022499,0.000485859209745113,0.00138009368262801,-0.0418714544675159,-0.0135572689956852,0.000586988176126386,2.43961545463526,2.79298074494558,1,0,0,0,0,0,0,3.98287594373574,3.26689086242521,0.0174427873100534,-0.00703977202190867,-0.016501204335938,0.0200370652132889,-0.00881915863295279,-0.0161383322464103,253160.570587032,281078.948960258,11902.4222769182,546141.941824208
47,0.235070074955113,0.000442794722936932,0.00135875491395779,-0.0422304915192114,-0.0170076087302765,0.000555198339632899,2.40048171562759,2.73447256714521,1,0,0,0,0,0,0,3.86142369513606,3.16201734123658,0.0175400300500049,-0.00748095491111023,-0.0158850087478201,0.0200441270496622,-0.00923033691485366,-0.0155409636559941,253151.775795379,279603.920966665,11902.6299861569,544658.326748202
48,0.236166985589976,0.000392784124958996,0.00133600221981105,-0.0425502874056606,-0.020627860572037,0.000522404399116039,2.36357374166483,2.67846667811717,1,0,0,0,0,0,0,3.74734631432128,3.0636787869677,0.0176446708964637,-0.00800411235101256,-0.0152493115443005,0.0200541631434593,-0.00971296195606923,-0.014924350156712,253260.325114465,278263.538653613,11902.91111824,543426.774886318
49,0.237393794964277,0.000336741146356465,0.00131154474430755,-0.0428369861226926,-0.024411098972706,0.000488854678140387,2.32870150614612,2.6247886515284,1,0,0,0,0,0,0,3.64069188189959,2.97210551216789,0.0177561749256716,-0.00860696290706442,-0.0145971441992844,0.0200669474622698,-0.0102649318720469,-0.0142912884961383,253476.602982475,277048.662208063,11903.2797016385,542428.544892176
50,0.238748919367738,0.000275867358760424,0.00128502868402826,-0.043103587260576,-0.0283375033907204,0.000454931977420475,2.2956393460824,2.5732494688667,1,0,0,0,0,0,0,3.54143339914578,2.88748543325683,0.0178735414797528,-0.00928102762668132,-0.0139347623994831,0.020081978720004,-0.0108782516573043,-0.0136476884056688,253787.817640484,275948.44044993,11903.749546907,541640.00763732
51,0.240227549621187,0.00021162410793009,0.00125604668221807,-0.0433712364075232,-0.0323727832998169,0.000421149836393134,2.26412723183764,2.52364256468845,1,0,0,0,0,0,0,3.44947292044059,2.80996612893608,0.0179952830698432,-0.0100105305986639,-0.0132722555852094,0.0200984410141998,-0.0115379358674789,-0.0130031868427435,254178.019347177,274950.104187596,11904.3326470668,541032.45618184
52,0.241822324420088,0.000145639587780727,0.00122416379878845,-0.0436690312409566,-0.0364701902657742,0.000388106674787198,2.2338852117576,2.47575009931884,1,0,0,0,0,0,0,3.36466356718541,2.7396667955927,0.0181195370808879,-0.0107727136658111,-0.0126233863458607,0.0201152569701441,-0.0122222687817216,-0.012371021993606,254629.151673122,274039.559895927,11905.0375599564,540573.749129005
53,0.243531482826519,7.93809708776652e-05,0.00118896261121814,-0.0440320726183292,-0.040589877078716,0.000356368687416941,2.20472084659081,2.42943117118177,1,0,0,0,0,0,0,3.28696242028518,2.67678154439963,0.0182451341074967,-0.0115420130337302,-0.0120037873369985,0.0201319823284681,-0.0129066917920522,-0.011766289939643,255129.448221653,273209.055533023,11905.8708979949,540244.374652671
54,0.245293473826864,1.659136131028e-05,0.00115556030213602,-0.044437342376905,-0.0447446839715627,0.000327377394210044,2.17618083500634,2.38517356307092,1,0,0,0,0,0,0,3.20753366739733,2.61086960500583,0.0183671257018482,-0.0122995856880153,-0.0113826329773395,0.0201521111444476,-0.0135815174896497,-0.0111584783475994,255644.609481513,272501.439716386,11906.8473624629,540052.896560362
