U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
18,0.270769639947978,-0.00302816501504151,0.00143879919205383,-0.0350304701432535,0.0560115552101779,0.000997157500378618,5.55646276648643,7.63145766649756,-0.00638603808500502,0.452276875800984,1,0,0,0,0,13.2671556228295,10.4744278095123,0.0166106716859736,-0.00671302877666397,-0.0296464746604083,0.0211254321795612,-0.00717657051877215,-0.0292760468232753,306468.247513865,448589.890463157,11902.8701047759,766961.015873308,-0.732049381884482
19,0.26821849481139,-0.00261841965576082,0.00157085402075652,-0.0362993570896934,0.0548554343803063,0.00110087107573566,5.4366992802007,7.37158822471541,-0.0247469817403616,0.458999796091889,1,0,0,0,0,12.7429566284761,10.0978544709112,0.0165930674174344,-0.00658914800542664,-0.0301376406120694,0.0210615580611277,-0.00715216907945652,-0.0297371318279456,303058.625756321,437230.192413296,11902.9204143415,752191.86197193,-2.99158658690541
20,0.265738435518605,-0.0022279332969468,0.0016884110233442,-0.0374412936843896,0.0535899432784124,0.00118934394879507,5.31077293316536,7.11843773007253,-0.0361291926152237,0.465938796491561,1,0,0,0,0,12.2288877968993,9.72457050836007,0.0165752782417115,-0.00645188368579076,-0.030468836512892,0.0209997564496379,-0.00711858951272658,-0.030037698581699,299429.380226604,426231.100234183,11902.964847854,737563.72200354,-4.59508941990615
21,0.263322206538149,-0.00185473707037849,0.00179456450439379,-0.0384708957390307,0.0524564831831489,0.00126616164949705,5.18090621770898,6.87336635611859,0.0485815183343563,0.47369808973966,1,0,0,0,0,11.7284121347802,9.35870689089339,0.0165569114696127,-0.0063000792117666,-0.0306585267293853,0.0209395268982439,-0.00707926388281424,-0.0302028440279638,295653.338953572,415641.839061487,11903.0109599954,723198.716449764,6.51450879658717
22,0.260963670949134,-0.00148856359644363,0.00210307615356387,-0.0394057157964084,0.0517782151997428,0.00149577181933494,5.04821822560614,6.63802380615663,0.335312847262254,0.483195759242651,1,0,0,0,0,11.2440314013233,9.0039582954076,0.0165349146076563,-0.00602890678884373,-0.0305877004647208,0.0208828885310144,-0.00713702334287255,-0.0303980177322543,291739.566287858,405558.071474889,11903.0657450131,709227.3670721,47.7110794388254
23,0.258688701586193,-0.00114633219502127,0.00219734343977487,-0.0402497945853033,0.0510789195643954,0.00155753350417801,4.91589642367247,6.41072793049676,0.603939932639264,0.492611334064824,1,0,0,0,0,10.7770327769785,8.66142315136662,0.016516608863759,-0.00584636000566671,-0.0305385416990901,0.0208244470317048,-0.00709702424101669,-0.0303557145273952,287868.768778346,395827.523167308,11903.1249619284,695690.826574445,90.8133339089751
24,0.25650417810061,-0.000830990364510136,0.00207234758361334,-0.0410157642884795,0.0503630981828175,0.00145261699091801,4.78558391079771,6.19140126126926,0.854971123046815,0.501750708591764,1,0,0,0,0,10.3287389720505,8.33286060440894,0.0165037693462119,-0.00575797591458948,-0.0305302226621644,0.0207625833959392,-0.00695711636669738,-0.0300896052677667,284111.224796706,386427.96469631,11903.1898408355,682635.2806709,135.373929120959
25,0.254463961208744,-0.000529395602126551,0.00213984965900472,-0.0417173259541549,0.0496342231537972,0.00149084304339994,4.65673370526699,5.98108576868781,1.09606592423205,0.510882570068411,1,0,0,0,0,9.89960309600542,8.01956619760574,0.0164932660619769,-0.00556648965770684,-0.0302969099241885,0.0207023396269603,-0.0069164874794019,-0.0298789657497125,280409.203291331,377460.093430891,11903.2467273999,670105.405583132,182.212832928032
26,0.252551809867763,-0.000249427176585344,0.00219588051031548,-0.04236698456236,0.0488947927062645,0.00151839886745438,4.53062580156794,5.77987625907545,1.32277518643325,0.519836206907766,1,0,0,0,0,9.49147873649878,7.72174009886382,0.0164858380401848,-0.00537382827580868,-0.0299954162435022,0.0206423507048647,-0.00687720549607913,-0.0296070303103549,276815.06959699,368913.459536134,11903.3020029017,658139.418501998,230.237472072694
27,0.250771498189845,8.71212224250539e-06,0.00224227020347026,-0.0429766850351227,0.0481465353481925,0.00153691160936122,4.40754605531065,5.58808825860323,1.5353970677294,0.528640704967906,1,0,0,0,0,9.10535127346356,7.43927817139848,0.0164802970728954,-0.00518179415824417,-0.0296408241890457,0.0205839221166564,-0.00684001312386738,-0.0292871968895931,273327.054175451,360815.546695229,11903.3554649361,646760.186142424,279.105572562414
28,0.249125633831082,0.000245885187014741,0.00228534178797927,-0.0435575312962213,0.0473905646424925,0.00155123540730277,4.28763190332824,5.40588897202918,1.73453979953291,0.537350728468734,1,0,0,0,0,8.7417814555105,7.17189378593364,0.0164753230064383,-0.00498962986412688,-0.0292440751638895,0.0205284628954738,-0.00680773298279718,-0.0289342900475805,269938.71763659,353186.591790918,11903.4067015192,635978.536978801,328.555448266918
29,0.247613546673128,0.000462979901646958,0.00231724074444305,-0.0441195577743508,0.0466275088889279,0.00155591373842958,4.1709698316378,5.23327379717281,1.92081370397878,0.545850908184314,1,0,0,0,0,8.40101675133141,6.91913849193927,0.0164697165838819,-0.00480312002240968,-0.0288244961161997,0.0204771491053275,-0.00677620155740027,-0.0285525912601274,266644.625320968,346035.498947978,11903.4558641064,625794.828554234,378.354777651991
30,0.246236400303292,0.000662649094583865,0.0023526637372745,-0.0446718905272864,0.0458576096401344,0.0015617144323699,4.05745833940077,5.07021570415445,2.09521360536405,0.554297320560177,1,0,0,0,0,8.08297163948538,6.68048817016029,0.0164619424265798,-0.00461653296959854,-0.0283845375462108,0.0204315748881425,-0.00675243610187064,-0.0281593712446117,263431.075293745,339372.71393361,11903.5021265665,616203.213120413,428.382597469965
