U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
15,0.258769196434069,-0.00415527410565827,0.000805171377880409,-0.0244629432343347,0.0545515737305818,0.000557795692121085,5.16072077852326,7.32650013009124,1,0,0,0,0,0,0,12.9816184381955,10.0956733236032,0.0163656074774797,-0.00677765376975401,-0.0268197208278807,0.0210368494795672,-0.00661258918203677,-0.0261455101857448,315328.302643166,460375.222361083,11902.6090420923,787606.134046342
16,0.25615333692474,-0.00370805555867016,0.000946022053500152,-0.0257267206971614,0.0535804446482981,0.000677530039010785,5.05824041199894,7.05550554676966,1,0,0,0,0,0,0,12.456557854404,9.73346567952653,0.0163497052344217,-0.00668909741929024,-0.0275867574176899,0.0209539043036042,-0.00659431468719576,-0.0268825739841881,312631.939524084,448317.473428177,11902.6577369257,772852.070689187
17,0.253578475879195,-0.00328330853675058,0.00107957218201245,-0.0268648649446356,0.052452204279881,0.000786757730529191,4.94555647724877,6.79127372629126,1,0,0,0,0,0,0,11.9374747080417,9.36818744313785,0.0163313162154287,-0.0065805353189738,-0.0281620781363189,0.0208746798303105,-0.00656528917249334,-0.0274335093759801,309560.959140997,436670.328496956,11902.701964651,758133.989602604
18,0.251068310677204,-0.00288138028816406,0.0012028238108,-0.0278838396638731,0.0511866790595974,0.000883792781253689,4.82514654034475,6.53499957725476,1,0,0,0,0,0,0,11.4279701794267,9.0037808027817,0.0163115260452071,-0.00645532172072112,-0.028555668547397,0.0207989320505279,-0.00652792769684739,-0.0278083506887339,306206.005469268,425469.485269404,11902.7409293762,743578.231668048
19,0.24864496428697,-0.00250235994352295,0.00131330922640451,-0.0287928329138374,0.049804283582533,0.000967309542524041,4.6995211678384,6.28751470048186,1,0,0,0,0,0,0,10.9312968760999,8.64411203972931,0.016291675217357,-0.0063170084045842,-0.0287815867956712,0.0207260992009468,-0.00648457390444368,-0.0280210774048155,302661.948557521,414732.478999514,11902.7740675285,729297.201624564
20,0.246327274683919,-0.00214637355334795,0.0014092721170492,-0.0296029788254937,0.04832462552923,0.0010364839440234,4.57102293729921,6.04942691833173,1,0,0,0,0,0,0,10.4502090251655,8.29254474670384,0.0162730585769407,-0.00616914114534004,-0.0288568022215148,0.020655546361296,-0.00643735268204247,-0.0280884498503225,299017.876458754,404468.923855485,11902.8010198582,715389.601334097
21,0.244130499483752,-0.0018135593553625,0.00148962724727591,-0.0303266869426191,0.0467656577153392,0.00109097266573087,4.44173949397251,5.8211148837251,1,0,0,0,0,0,0,9.98689551946202,7.95187529377865,0.0162569133766524,-0.00601513345891553,-0.0288000958345047,0.0205865693709918,-0.00638806553014215,-0.0280289334006067,295353.857232877,394680.331899035,11902.821598336,701937.010730249
22,0.242066326781949,-0.00150405244144142,0.00155386705856776,-0.0309769796513026,0.0451431222872482,0.00113085285662077,4.31345362590751,5.60273856590944,1,0,0,0,0,0,0,9.54296600706612,7.62432001786282,0.0162444149182704,-0.00585817954522032,-0.0286309885834835,0.0205184015156847,-0.00633812798258785,-0.0278616560921867,291739.055749463,385360.539812815,11902.8357481363,689002.431310414
23,0.240143130345872,-0.00121797899412736,0.00160193812496384,-0.0315669097834902,0.0434702851729114,0.00115653849260343,4.18762705448375,5.39426252335555,1,0,0,0,0,0,0,9.11948140802939,7.31154485484715,0.0162366777334753,-0.00570120761277209,-0.0283688124006577,0.0204502227109123,-0.00628854653493457,-0.0276055100684577,288231.078609834,376496.637345355,11902.8435116251,676630.559466814
24,0.238366386074426,-0.000955459298931084,0.00163411442073963,-0.0321091002202466,0.0417579143180074,0.00116869266305599,4.065409141422,5.19548885045389,1,0,0,0,0,0,0,8.71701749071821,7.01472202341687,0.0162347545295565,-0.00554686702786082,-0.0280319890144787,0.020381176032322,-0.00623992911979149,-0.0272784574291037,284876.183319021,368070.344528515,11902.8449985886,664849.372846125
25,0.236739156889092,-0.000716841018809972,0.00165151438236989,-0.0326153192140285,0.0400143184945438,0.00116859288133297,3.94749408707826,5.00626688716842,1,0,0,0,0,0,0,8.3359908337371,6.73433016033303,0.016238976064501,-0.005397398143891,-0.0276374676795079,0.0203110463828344,-0.00619272043846576,-0.0268968931082254,281698.962697233,360073.744389293,11902.8403426296,653675.547429155
26,0.235262526742401,-0.000502518659569108,0.00165668849130002,-0.0330961601346987,0.0382454706774781,0.00115851545110316,3.83403481681944,4.82665162776804,1,0,0,0,0,0,0,7.97690626479577,6.47001686212963,0.0162483046667143,-0.00525441080836293,-0.0272003544080678,0.0202409240420824,-0.00614756035374337,-0.026475190099466,278695.014035364,352521.037422436,11902.8296602562,643118.881118056
27,0.233936045540209,-0.000312185845137932,0.00165245207655901,-0.0335611026038281,0.0364555080663172,0.0011408688268709,3.72501637608338,4.65659281178123,1,0,0,0,0,0,0,7.63993982774732,6.22119847913319,0.0162614954217956,-0.00511905067994522,-0.0267338914808045,0.0201720575796634,-0.00610510629854647,-0.0260258633189798,275854.030050005,345421.697576901,11902.8130808567,633178.540707762
