U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
59,0.216244056072528,0.0032242228391739,0.00213800743409819,-0.0390238395705891,0.0233632442860276,0.00035997620437762,1.76977583828872,2.1822781982628,0.0912131870388996,1,0,0,0,0,2.53383307850267,2.27222511430802,0.0156020524501685,-0.00821031058236855,-0.0103644875531467,0.019596309709725,-0.0145177969531116,-0.0113403388309663,237952.875905491,269563.960218054,15066.6835323901,522583.519655935
60,0.216682642142062,0.00320636693885457,0.00211280007600034,-0.0398250858185731,0.0225225350216263,0.000343039739390832,1.74425712474281,2.14351898071431,0.0912131870388996,1,0,0,0,0,2.46510874260769,2.2208858087356,0.0156349757955722,-0.00817152311146614,-0.0102035948698753,0.0195673409886097,-0.0145148228930936,-0.0111874570113658,238490.646677666,269098.840782096,15160.2412963132,522749.728756075
61,0.217171323316199,0.00317872525338377,0.0020859733895812,-0.0406706814528388,0.0216878820213514,0.000328841345871937,1.71995021294965,2.10573570489954,0.0912131870388996,1,0,0,0,0,2.40013468551582,2.17231537751083,0.0156724095662511,-0.00813051250992674,-0.0100630084493545,0.0195360172189821,-0.0144934736602814,-0.0110537507086749,239101.391148987,268688.47108094,15255.5344215288,523045.396651456
62,0.217473946927571,0.00321467516976782,0.00208808690801459,-0.0413245200854244,0.0212141872780205,0.000312408426122686,1.69348666143886,2.07132478705838,0.0947213865403958,1,0,0,0,0,2.33612194174388,2.12853223372459,0.0156763512673864,-0.00813032626230607,-0.00986514390873302,0.0195237940257595,-0.0146236641289533,-0.0108936769583021,239553.004602885,268536.646326901,15376.9729150617,523466.623844848
63,0.218055031929616,0.00317126689343467,0.00205921133516695,-0.0422527169792497,0.0203877992349835,0.000303183585849296,1.67130318611662,2.03549205269325,0.0947213865403958,1,0,0,0,0,2.2778897871964,2.08476593119188,0.0157207550013285,-0.00808337853853717,-0.00976106791434781,0.0194894290193225,-0.0145702673695092,-0.0107944067416238,240293.34538589,268242.483707264,15475.3373392339,524011.166432389
64,0.218425216713232,0.00320262435795187,0.00206346716439205,-0.0429618285164266,0.0199345960089949,0.000290324602114849,1.64646455665812,2.00328203084298,0.0982295860418919,1,0,0,0,0,2.21986805090659,2.04564275595791,0.0157259844190943,-0.00807728124236256,-0.00958993099615075,0.0194782056978629,-0.0146902583363578,-0.010661994229152,240842.268934626,268231.995231607,15601.9176422091,524676.181808442
65,0.219095634230611,0.00314540255996104,0.00203307446016449,-0.0439740328448663,0.0191156535794689,0.00028598207250605,1.62613855784957,1.96931322343593,0.0982295860418919,1,0,0,0,0,2.16756926096563,2.00582800799816,0.0157763844997103,-0.0080221768099279,-0.00951981453063944,0.0194417221264577,-0.0146042349767753,-0.010594672290885,241699.529030316,268055.05995929,15703.3387292238,525457.92771883
66,0.219812757455074,0.0030811566587801,0.00200171112661814,-0.0450330254294826,0.0183017904677233,0.000284162278628553,1.60667099199104,1.93623148918116,0.0982295860418919,1,0,0,0,0,2.11799580408054,1.96771940834385,0.0158299844744555,-0.00796191807685981,-0.0094668750779158,0.0194041580314832,-0.0144989060919286,-0.010543504541657,242612.724294918,267935.944180712,15806.4953863495,526355.163861979
67,0.220287899382261,0.0031046715608345,0.00200838479532891,-0.045836851905044,0.0178686284516946,0.000276844713082497,1.58401616486124,1.90699520806502,0.101737785543388,1,0,0,0,0,2.06772786027286,1.93408681468085,0.015837637578456,-0.00794257218665344,-0.00933476722204013,0.0193944600764842,-0.0145950268135149,-0.010450100709407,243299.645723483,268124.028617477,15939.5545669896,527363.22890795
68,0.221091895069612,0.00302864777949863,0.00197578751445487,-0.0469830314324864,0.0170613592590115,0.000279626386615946,1.56611481211215,1.87561204226145,0.101737785543388,1,0,0,0,0,2.02309188540537,1.89899042080673,0.0158964280717048,-0.00787160333393286,-0.00931289558486901,0.0193555718836904,-0.0144556201253815,-0.0104281108426617,244317.033319226,268118.913983073,16045.7573863777,528481.704688677
