U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,theta_1c_diff,theta_1s_diff,delta_e,delta_r,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
47,0.192955853140141,-0.0611638340844933,0.0364409873456417,0.00440820940230185,0.0368896369234627,-0.0132643491781157,4.2101681061496,0.453133820675496,0.00214993689370403,1,0.436332312998582,-0.272838580963679,0.0174532925199433,0.0698407363504898,4.45109672310393,1.19357259350202,0.0314629855191662,0.00296556378900138,-0.0120066070792497,0.00104557708742868,-0.08192374098597,-0.0125370532574815,438340.725613852,166618.787757362,14100.5746174851,619060.0879887
48,0.201146538925821,-0.102204661673243,0.034215984794519,0.00323167057160967,0.047903135494957,-0.0175732270866216,6.18865080404532,1.70764786850821,0,1,0.436332312998582,-0.377856110761229,0.0174532925199433,0.0785398163397448,7.06572373722863,2.70061032017409,0.0484040691798288,-0.0179249428366725,-0.01803342947709,-0.0159797328068044,-0.0716348099484488,-0.018298497300864,773842.353280149,210500.837400456,14198.8700434917,998542.060724097
49,0.518884688756701,0.0133217603048203,-0.0851943936550238,-0.0940799996538709,0.98064235099077,1.63133793907657,1.3424084025786,1.30802165951495,0,0,0.433209321278965,-0.328704736771381,0.0128189114853157,0.0785398163397448,2.0273705418678,1.53482057962604,-0.0100435607857768,0.0845882534154649,-0.0643120076266551,0.0189111602108567,-0.0480201315548314,-0.0109426402926545,208385.584420287,206008.976953151,14338.5863551829,428382.727980968
50,0.199276807366388,-0.0227041677909302,0.0340059485571347,0.00105295356381483,0.0201278083261751,-0.0123179641150566,2.23790147668689,2.15048873726487,0.151659036496333,1,0.436332312998582,-0.211181471251227,0.0138683659138288,0.0616139042697431,3.27342648332337,2.4524616047775,0.0170621395698928,0.0162712368145482,-0.00942017965216052,0.0155294561413904,-0.0929393464292606,-0.0103706195449903,249089.558614234,242674.350616404,15453.1728758019,507217.08210644
51,0.20243390934328,-0.0242566083814141,0.0344641593364641,-0.0026855588094048,0.0119826297944601,-0.0126657167658062,2.21844721156035,2.08827237904868,0.110467411757969,1,0.436332312998582,-0.21360575954993,0.0174532925199433,0.0641564558387976,3.1941863909982,2.3651326998559,0.0173303476071426,0.0178798382078034,-0.0131989570014411,0.0153831658711583,-0.0943384798520176,-0.0132380688157937,250384.972515641,240865.951731067,14590.4283272755,505841.352573984
52,0.199335924849407,-0.018195914005106,0.0257180615802161,0.0011501357302642,0.0187370658338981,-0.0095715532009711,2.14600226791418,2.05824957673293,0.160259040729851,1,0.436332312998582,-0.149974634068496,0.0174532925199433,0.0460824601581406,3.08097805979234,2.30869699402964,0.0169180339415675,-0.000335736106124676,-0.0109857684996204,0.015522311821344,-0.0809635183431666,-0.012176592793312,247658.551345551,241258.774539317,15843.3729134436,504760.698798311
53,0.199854972310507,-0.0253642367131042,0.0361985714926026,0.000999996517387009,0.0113382794440261,-0.0140241508686756,2.10093299071011,2.02152797406599,0.131713404788751,1,0.436332312998582,-0.206415778226729,0.0174532925199433,0.067469783260958,2.9967543236427,2.25512175219398,0.016989702023992,0.0181026628133916,-0.0108346349457154,0.0153954655389337,-0.10009812741166,-0.0114794046457742,246964.696116987,241174.850668572,15114.5402147604,503254.08700032
54,0.203977215284263,-0.0221765028006655,0.0329777626343348,-0.0020594580234385,0.0034895114780219,-0.0118414234578216,1.99845158432569,2.05664831096503,0,1,0.436332312998582,-0.182851285346784,0.0174532925199433,0.0617188989314582,2.8797341472715,2.25766669774342,0.0164463412740809,0.0145276869227055,-0.0112669748040346,0.0161433906641142,-0.0947583200097499,-0.0116332739378703,242109.514975194,246234.268459769,14664.9772987365,503008.760733699
55,0.199108728230689,-0.028533773816264,0.0410253955646129,0.00297421642840769,0.00580629640305302,-0.0165076342080369,1.98114395372832,1.97805382672999,0.126444738302319,1,0.436332312998582,-0.218759261809491,0.0173047013010808,0.0775094618329554,2.79459488206231,2.15147506458159,0.0166165656148087,0.0252234302249546,-0.00908103830504244,0.0155578065377111,-0.110894666949266,-0.00982749127109456,243320.275422122,243036.933796192,15157.3778097338,501514.587028048
56,0.198318006893684,-0.028715697921534,0.0390271773389265,0.0164605658357677,-0.00160871407544609,-0.0119317766573733,2.00398903549875,1.89899943173106,0,1,0.436332312998582,-0.192800954368156,-0.00887146139497237,0.073648030157695,2.7550802067048,2.05277594543873,0.0171181822996435,0.0226696896240945,0.016637903190488,0.0151577917336007,-0.104842374789528,0.0154077669741327,247508.612566509,239880.975875148,14834.9229666772,502224.511408334
57,0.195908597673704,-0.0204554809350088,0.0272101640560299,0.0176236050819299,0.00524768753516863,-0.00889714367944216,1.95016921144609,1.86398098023559,0.144690473690128,1,0.436332312998582,-0.128870314980277,-0.00362143478303875,0.0498847059257913,2.65796253318768,1.99437224681579,0.0167663554961313,-0.00103874353432436,0.0135588122735074,0.0152517696070027,-0.0869412990698399,0.0117586410032178,246028.294105403,239800.010005389,15711.3516290932,501539.655739886
58,0.201369780217929,-0.0171964661315961,0.0228126011395488,0.00381400460987122,0.00254885955140322,-0.00884734700462393,1.87984585301647,1.86387362363774,0.130268342829517,1,0.436332312998582,-0.111980721227934,0.0174532925199433,0.0425667452786099,2.55982922635377,1.97366297329506,0.0164510976540181,-0.00845842933279614,-0.00719300175330951,0.0156860038048461,-0.0817683400448163,-0.00805697566270674,243370.139467426,242175.164717529,15470.4828852376,501015.787070193
59,0.202455708344041,-0.0270715488120869,0.0366665958702678,0.00287654091110752,-0.00606488530821559,-0.0144534360678954,1.82593245077873,1.85414010427171,0.0028570483311874,1,0.436332312998582,-0.176274512310681,0.0174532925199433,0.0708508855675051,2.47589212232739,1.94732319839975,0.0164015231052828,0.0163221209961569,-0.00717401137016074,0.0157027618928479,-0.106454820789101,-0.00781050595223114,241908.366906504,243875.724040757,15075.0279801462,500859.118927408
60,0.200316973240232,-0.0258358710249491,0.0352712608966134,0.0134817568369336,-0.00925745833861519,-0.0122770171088891,1.78438116826179,1.83695950625011,0,1,0.436332312998582,-0.156823348195104,-0.000107520569903901,0.0675531225648735,2.40332508322496,1.91662077661734,0.0162266903460377,0.0139933094536195,0.0106813519116561,0.0158181299286254,-0.103418896788877,0.00939673905018327,241326.300455588,245040.544079918,15196.1611268688,501563.005662375
61,0.202730549441442,-0.0225808226325324,0.0274265172616091,0.00463140293143593,-0.00694862949881427,-0.010989037803562,1.81428676227815,1.7347185192709,0.101645110187084,1,0.436332312998582,-0.126847407810566,0.0174532925199433,0.0536649519577331,2.37558752135033,1.80535757871407,0.0167830904644321,-0.00209901597999817,-0.00572902316241957,0.0152110229436281,-0.0922020407069914,-0.00616411483845598,245832.167671204,240116.834243578,15338.1455254005,501287.147440182
62,0.204020384662032,-0.0201732224594819,0.0242749991314294,0.00514920080983659,-0.00951462754969722,-0.00910136735863948,1.78161783662233,1.71130673998051,0,1,0.436332312998582,-0.108326728353216,0.0153622129396168,0.0470477742478704,2.31380139208987,1.77196955805746,0.0167189140599198,-0.00795307108136492,-0.0032081947010961,0.0153135754729523,-0.0867076135465538,-0.00404986181013236,245844.613085077,240789.036780442,15387.3334401654,502020.983305684
63,0.196774847878048,-0.0188809302351809,0.0245880105751007,0.0245975380074569,-0.00945306291558456,-0.00791146246069309,1.70761607660583,1.72444032521762,0.131595561140684,1,0.436332312998582,-0.0959355983333836,-0.0112995048173615,0.0461529475654735,2.22277534764553,1.77520564556512,0.0161001683578959,-0.00822112460088696,0.0244659027114751,0.0156115339308359,-0.0874710318033949,0.0224721544201148,242875.256560672,244034.938991445,15931.999578342,502842.195130459
64,0.206897279040278,-0.0176270157309231,0.0202090614837759,-8.70519488239191e-05,-0.0111137827237863,-0.00804962067201755,1.72528348462028,1.67164322491265,0.0895651136660826,1,0.404442474794125,-0.0889108926132996,0.0174532925199433,0.040116568416563,2.20506296866392,1.71644117948048,0.0166892040975833,-0.0130359853356661,-0.00615781772056053,0.0155281240689993,-0.0792353465776848,-0.0064225347032299,246479.340808638,242603.750984674,15541.5770250915,504624.668818404
65,0.203783593888458,-0.0251912569093694,0.0294237014260365,0.00667182046685293,-0.015284003465824,-0.0118768722152907,1.68733503485348,1.62683626177454,0,1,0.436332312998582,-0.122827107545989,0.0174532925199433,0.0587758908770378,2.13589741050789,1.66509577194588,0.0166250101308959,-0.00163516564444954,-0.00317311308532761,0.0151217830603668,-0.0992860459157944,-0.00401823140378797,246068.866486449,241746.695393681,15687.1589008559,503502.720780986
66,0.196115226976349,-0.0329571143173942,0.00741976876599402,0.0279308849190822,0.00580697732111588,0.0130619790417087,2.5216791477065,0.740559325828452,0.233965922184947,1,0.436332312998582,-0.0434937625938767,-0.0114371813849945,0.0201932982224284,2.71785957303324,0.790504044806863,0.0256853386390075,-0.0527443395160382,0.0264999229041043,0.00582571978631692,-0.0489045384880555,0.0258065814822939,324812.046529262,198490.613700963,19347.1850208172,542649.845251042
67,0.200346401509717,-0.0219937455877511,-0.00126553489679695,0.0191044699720398,0.00138334960908831,0.0107627844460908,2.37982850770295,0.830965378803748,0.238498428421818,1,0.436332312998582,-0.00599425341681669,0.000909330261476878,0,2.5913193799007,0.872136602644061,0.0244349779258405,-0.0682106851964869,0.0151069761647323,0.00714521160907245,-0.0350385072901559,0.013345845398804,312982.663273654,203234.031365838,19564.6603300353,535781.354969527
68,0.191921628984938,-0.00705406338876354,0.0121378261649637,0.0222701516219577,0.00212688414819433,-0.00513345307048125,1.48705464459548,1.62433504748579,0.230965447593024,1,0.436332312998582,-0.04041539202353,0.0174532925199433,0.0192067934221259,1.88319620900733,1.6466064923219,0.0147308414919965,-0.0412900674520402,0.00345230074593831,0.0159676489754617,-0.0774878314190977,0.000151550946851382,238929.133298241,248464.052684258,19350.4597165892,506743.645699088
69,0.201005935877369,-0.0450424696452222,0.00572180973833848,0.0181549530598198,0.00112862496446896,0.0130041373409404,2.83028288920432,0.276802921160163,0.256807027841742,1,0.436332312998582,-0.0399157310375373,0.00452176307904889,0.0216074405370906,2.89530218323743,0.314141880981427,0.0305287788590889,-0.0647010678636396,0.0123575986008655,0.000917311586286546,-0.0420766457056923,0.0116922922847234,373052.480034808,192703.463971295,20338.54078977,586094.484795873
70,0.193667192466623,-0.00792238489690769,0.0096984563887552,0.0230796987515113,-0.00193623305591141,-0.00285094126843636,1.52773753333096,1.49322633978489,0.223732175909026,1,0.436332312998582,-0.0291587968193774,0.0156219165584766,0.0154965202610473,1.86400299813968,1.51070444262628,0.0156748378286201,-0.0474621128160053,0.00585166381115612,0.0150163782554697,-0.0732906732824198,0.00282531195828865,246185.761487612,243766.662106882,19227.4478329292,509179.871427424
71,0.203392839764557,-0.0432465084945566,0.00562988918875111,0.0169433031470109,-0.00527842092291388,0.0114218461229941,2.68661353460548,0.331609715211686,0.232422899953563,1,0.436332312998582,-0.0397884694313009,0.00573892835383775,0.0220529253590986,2.75853183890555,0.358675609418371,0.0297794707567478,-0.0649523694098891,0.0117225910788285,0.00167395900817704,-0.0443175877972929,0.0112406876467338,362797.029912614,196550.839411501,19592.4580146686,578940.327338784
72,0.204034343757779,0.0265612270577436,0.0218167833611335,0.0153350128248188,-0.0340019879206692,-0.0198699000303951,0.169427255448249,2.79335897939819,0.233745197238038,1,0.436332312998582,-0.0393737379382054,0.00426770637743151,0.0226297817870371,0.752051866586981,2.79485495827124,9.05552662703365e-05,-0.00128823887351237,0.0148940940269435,0.0310607949851155,-0.10617640009273,0.00792696145670482,196207.492258842,380460.092216502,19707.2404526993,596374.824928043
73,0.206967649611331,0.0247834062448709,0.0200853154898828,0.0103322005224736,-0.0315940864732094,-0.0152528386877897,0.23555376397693,2.68463025614764,0.231955578699079,1,0.436332312998582,-0.0384899160586782,0.0118342266559008,0.0216051937581959,0.773465563839061,2.68644626169081,0.000966866124970789,-0.00518248427210603,0.00731019501409113,0.0302509505333839,-0.10456951231848,0.00179579953946579,198422.573772512,370276.991428711,19719.3794208995,588418.944622122
74,0.0178715213119863,-0.0107075613392921,0.0475033747501454,0.227788514276968,0.0764860284088188,-0.101293025530009,0.75697577025221,1.51680705118591,0.482557352883,1,0.436332312998582,-0.195702180659779,0.000378301472925329,0.0469651808489934,1.04223655766988,1.52151829439027,0.00493061770937412,-0.085748340943253,0.0887810474996599,0.0130940460163446,-0.202715922078986,0.0528070497819495,212750.143460947,255141.62268103,41696.3872152915,509588.153357269
75,0.182165938794915,-0.00733432631612484,0.0106829774242231,0.0478038044710809,-0.00387543643699552,-0.00268296147758196,1.38799248220237,1.39440609805023,0.28390094582349,1,0.436332312998582,-0.0239104290400178,-0.00352355234026449,0.0151801434229465,1.64477432536399,1.40245186516491,0.0149581221186836,-0.0540178234698497,0.0303688597518643,0.0147876253239801,-0.0811315468080053,0.0252988619958727,247777.945968097,248206.469748603,21693.5548372831,517677.970553983
76,0.0484640046807743,-0.00442497082446289,0.0410414699262806,0.202986022454172,0.0357059936896662,-0.0933370446003091,0.666043183490435,1.65742464070997,0.412720000322985,1,0.436332312998582,-0.190875879129819,-0.0152566241199053,0.0402468649233563,0.953700045981702,1.66058492687707,0.0044156421694719,-0.0747181155622559,0.0918110335986563,0.0159406183990432,-0.183765886496812,0.0618499108062714,213053.883886029,270866.471639328,30266.7069336703,514187.062459027
77,0.16682672283404,-0.0128229898259549,0.0219350614165826,0.0712764549141425,-0.006812287809322,-0.0136720839302095,1.2143877435715,1.45459415832523,0.308826297934161,1,0.436332312998582,-0.0540428735197734,-0.0159138205193625,0.0348977396834798,1.46119597563608,1.45993228247602,0.0130891299037628,-0.041047984321863,0.0481548843049245,0.015591122683118,-0.107600108521627,0.0402365312235636,240874.435422953,257094.80384149,22875.12774171,520844.367006153
78,0.222213236568149,-0.0800146511379993,-0.00159654973217043,0.0103226085115878,-0.00587880441356221,0.0331928668129156,3.70592434083719,0.954418058546521,0.456628985398282,1,0.436332312998582,-0.134380344534838,-0.0174532925199433,0.0320288663099146,3.86264372630325,0.969000545969621,0.0462606071632219,-0.0890816441842295,0.027886929736767,-0.0143054320717312,-0.011362036854863,0.027871197932521,559132.711974244,228601.348980692,35679.7801235778,823413.841078514
79,0.229284020238435,-0.0904735719922155,0.000572480930627785,0.00183029274763984,-0.0200042386686136,0.0228992886767123,3.88021531940225,1.15925133286065,0.416359722958676,1,0.436332312998582,-0.173239769675752,-0.012706708067741,0.0431003174949232,4.06328747563823,1.1726342928388,0.0493409962833804,-0.0865674501454998,0.0214022651237101,-0.0171194665958304,-0.0124769441742415,0.022121110797892,600041.852126787,241852.533336941,30512.4086313192,872406.794095047
80,0.238626648563264,-0.112514263332583,0.00919037042138866,-0.00416059644630908,-0.039764469000258,0.0134484370612491,4.06807532659824,1.35702762333967,0.215389782912195,1,0.436332312998582,-0.277756341301491,-0.0174532925199433,0.0785398163397448,4.27468626206233,1.36942774788051,0.0529175482973393,-0.0656235173967583,0.020483787420902,-0.0200357462211195,-0.0287213909941692,0.0279627812530072,646535.507787814,257122.628021126,19805.3223580255,923463.458166966
81,0.228265032123433,-0.0806572346352032,-0.00125210557217045,0.00548501790515759,-0.0197434528374033,0.0276156145773436,3.55028991682745,0.890481087603013,0.422770750924701,1,0.435761297765386,-0.145533732044314,-0.0174532925199433,0.0358015040131976,3.6801472687249,0.899835920271739,0.0460652181328285,-0.0879471971759726,0.0275983163938031,-0.0138817901191483,-0.0122474429437982,0.0283425861245336,547664.263308018,231504.389541795,31106.9156948186,810275.568544632
