U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,theta_1c_diff,theta_1s_diff,delta_e,delta_r,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
20,0.245282497708439,-0.00209539957938512,0.00144598806310309,-0.0269506952065758,0.0533210127520716,0.000867271936516129,4.56745803165771,6.05796195199325,0,0,0,0,0,0,10.4549003306122,8.29931390176313,0.0162087065686618,-0.00806815519711412,-0.0278458201712737,0.0206328458681777,-0.00838628617361259,-0.0271200556958434,298464.128408034,404760.416969338,13037.7297943178,715583.958657508
21,0.242921571989783,-0.00174995469122713,0.00153116369599639,-0.0274468683442171,0.0523174556499261,0.000917150703792948,4.43705012308084,5.83043509699056,0,0,0,0,0,0,9.99102620213571,7.95892042303281,0.0161829902181556,-0.00806330059706487,-0.0277130473468278,0.020563715820185,-0.0084958430349793,-0.026988587570358,294713.881311529,395036.516292686,13040.5425828853,702143.183641184
22,0.240677477917428,-0.00142562964362062,0.00160036486397329,-0.0278651546056149,0.0512832950942237,0.000953255707832647,4.30744873705432,5.61291563188823,0,0,0,0,0,0,9.54637795388625,7.63164661446093,0.0161598336260736,-0.00805466864641085,-0.0274676238064054,0.0204959015912981,-0.00860564443728387,-0.0267492092748659,291002.686161988,385790.57177021,13047.4394640507,689221.044665358
23,0.238557990308017,-0.00112242408361372,0.00165347998729299,-0.0282185734946241,0.050231895446983,0.000975969517496774,4.18012357229212,5.40537561895493,0,0,0,0,0,0,9.12202777939093,7.31917477237984,0.0161402782936133,-0.00804476812609174,-0.0271289447133144,0.0204286212936208,-0.00871648461684985,-0.0264208493556408,287388.207502734,377009.65875176,13058.3612665614,676862.281623202
24,0.236567972437352,-0.000840390180187448,0.00169073247901024,-0.028519659608731,0.0491740863242052,0.000985935198558336,4.0562375854266,5.20761957410369,0,0,0,0,0,0,8.71856357333778,7.02268919330617,0.0161253213175199,-0.00803588448219236,-0.0267155083620399,0.0203610348308438,-0.00882879515826807,-0.0260215174453752,283917.072458129,368675.051253189,13072.9114192216,665094.795654932
25,0.23470986381518,-0.000579839669904459,0.00171321543054023,-0.0287801080061043,0.0481182367703954,0.000984365872835176,3.93649956358406,5.01949774526363,0,0,0,0,0,0,8.33641568997148,6.74267671751194,0.016115243512651,-0.00802988914591299,-0.0262443778246969,0.0202929364473912,-0.00894283767306791,-0.0255677030820905,280614.327396443,360778.30851071,13090.870575538,653935.192365032
26,0.232984127635227,-0.000341083815717314,0.0017234969592063,-0.0290105421592622,0.0470704218779209,0.000973357954135149,3.82107151076519,4.841070386965,0,0,0,0,0,0,7.97610328184139,6.47879527711815,0.0161089373489796,-0.0080279313505741,-0.0257308435405095,0.0202254464970957,-0.00905902642567453,-0.0250739689582697,277475.759743912,353333.595354158,13112.0495215115,643393.42400957
27,0.23138969618536,-0.000123705981536475,0.00172443349184755,-0.0292205404736875,0.0460349026275739,0.000955121783360253,3.70994424648249,4.67229389964638,0,0,0,0,0,0,7.63781566666041,6.23047162658544,0.0161050766302743,-0.00803063457987411,-0.0251883882972828,0.0201598553105017,-0.00917776138445978,-0.0245530803947048,274491.104177361,346350.570988073,13136.2843199887,633468.884469913
28,0.229924412545106,7.33811076130282e-05,0.00171889190055922,-0.0294186518096367,0.0450144851748884,0.000931787014703884,3.60300583614766,4.51301930580229,0,0,0,0,0,0,7.32144433633171,5.99702376499233,0.0161022831213533,-0.00803815773364213,-0.0246287051313897,0.0200974714868292,-0.00929943877938076,-0.0240160628738371,271647.606189557,339832.822733626,13163.4323325261,624152.406559999
29,0.228585394971605,0.0002518093827342,0.00170965498083463,-0.0296124469140672,0.0440108335977668,0.000905327880936855,3.5000662208795,4.36302612684841,0,0,0,0,0,0,7.02666360971649,5.77770633256229,0.0160991381297315,-0.0080502306506872,-0.0240617883474407,0.0200396226372596,-0.00942449127792718,-0.0234723058381346,268930.77309506,333779.529282675,13193.3689474722,615428.676286247
