U,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
100,0.123434529829924,0,-0.388235060681473,-0.0414411333520423,0.0114206993721898,0.0126649595895498,0.688767532521993,0.0137519198746616,-0.00702420688659552,-0.644405018425875,-0.164288896013436,-0.0328610740633326,2.9542803046971,2.09116079390606,3.10680828481045,2.09190989687653,0.035095974418322,0.187708114478352,-0.159811009605886,0.0547896648589416,0.136039775666955,-0.126761563694894,436847.596270565,460375.964547191,20510.7583521921,917397.083014925
100,0.387631014389543,0,0.394533909639741,0.442499686404272,-0.0113340908049772,0.0366726677425052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0106809425051959,0,0.0103235354345424,0.463920045679887,0.00750064494633407,0.0451275374897228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0296124310741538,0,0.306782329152922,0.0468175345475655,0.00884100269555967,0.0566955998428638,1.06151470214088,0.101584459465693,-0.127353699787293,-0.971335680867193,0.241958362192771,0.720069776740338,4.72488032484841,0.761264071247649,4.78526517608886,0.762854743574785,0.00164741824482221,0.355621082610026,-0.287091287987345,0.104244181742851,0.141984926148186,-0.14971632934192,424780.720957115,394093.408666677,20220.185874326,839047.65182096
100,0.321978214335777,0,-0.0149905567685701,-0.428522022525877,-0.00533565861568039,0.0247479551111363,0.680444902870287,0.132245792881482,-0.0361200491106475,-0.575179826059976,-0.372832364774334,-0.154503995560308,5.3651056702152,0.821513236090393,5.44065379975767,0.824490091652277,-0.0193743264972099,0.265196667185502,-0.186780648161491,0.102997324725689,0.0148715597421309,-0.0583608122377462,504659.528730538,405094.724713505,25505.18071605,929927.775641212
100,0.0919640876330972,0,0.337365954860012,-0.401281162362977,0.00146488192697679,0.0719605247547111,0.664335873558563,0.106656905127315,-0.0254307677875811,-0.485050200527322,-0.402056825127658,-0.11327794624932,4.66583223986015,0.380609370975226,4.70306409595342,0.38379910684451,-0.0109363639701219,0.194539140207542,-0.143419897010662,0.0912920125671962,-0.0190424120614473,-0.0378021473438843,387269.74047986,311967.503906083,20299.4322642981,719410.766583112
100,0.413436631006948,0,-0.15489038067771,-0.396936516342583,-0.00389880907047645,0.0675387077308583,0.682052306490769,0.127345416227971,-0.0338007420979339,-0.601579690228877,-0.343472426619963,-0.154981244692759,5.31588968952903,0.661126436837631,5.37393809631203,0.663648903906318,-0.0169672569870706,0.277605003919762,-0.194955504066908,0.102455115180985,0.0290720080038727,-0.0679685827189741,476901.210109091,373838.804394874,30895.1587069145,870913.536701133
100,0.566689071355659,0,0.291137861760778,-0.233383590693756,0.0111355039668843,0.0691179718509175,0.660497974931036,0.0618894062894834,-0.0127553422264674,-0.477482325822201,-0.347006780910373,-0.0701421056114801,3.7816835778158,0.808968790493733,3.85477494083439,0.810945446420858,0.00855466907885382,0.149967594883703,-0.124395485332595,0.0740215918118061,-0.00123212703460016,-0.0516121966390003,296774.819446122,358262.340292968,70042.305066108,675210.681936258
100,0.480428583476865,0,-0.417606114978545,-0.389824339457039,0.00658238204615362,0.0496773969026261,0.7020474826876,0.128409767050471,-0.0438768288121043,-0.68913647706074,-0.321119171261432,-0.185744965554937,5.55366726162399,0.866811624378869,5.62664628716029,0.869098388521107,-0.0197190645795969,0.332832958872981,-0.246713044192606,0.105974645562302,0.06297675569973,-0.096967197380082,525814.578527855,419431.646268543,39073.5101880203,965419.746993567
100,0.158997228062717,0,0.120540951865115,0.216147300739084,-0.00437694024025048,0.0434971035644916,0.813101749214923,-0.0596397134779357,0.0197358787291185,-0.692561907535084,-0.137887146722243,0.166479185455745,1.21657720194495,3.89193930783224,1.50590303226908,3.89226826330569,0.078751719641325,0.0858088244861085,-0.0892266216332384,0.0189023659741914,0.220579190900209,-0.160991091764842,423584.920204841,368302.778053507,20998.312203924,812061.220455516
